# KangXi Dictionary Index
# 
# * … Subordinate characters.
# # … Comments
#
# Warning:  1586ページ以降はまだ適当に並べただけ。
# 
KX0103.005	㑗
KX0103.006	𠈭
KX0103.007	侯
KX0103.008	𥎦*
KX0103.009	侰
KX0103.010	𠈮
KX0103.011	侱
KX0103.012	㑘
KX0103.013	𠈯
KX0103.014	侲
KX0103.015	𠈰
KX0103.016	𠈱
KX0103.017	侳
KX0103.018	侴
KX0103.019	侵
KX0103.020	侶
KX0103.021	侷
KX0103.022	侸
KX0103.023	侹
KX0103.024	㑙
KX0103.025	侺
KX0103.026	侻
KX0103.027	侼
KX0103.028	侽
KX0103.029	㑚
KX0103.030	𠈲
KX0103.031	侾
KX0103.032	便
KX0104.001	俀
KX0104.002	𠈳
KX0104.003	俁
KX0104.004	係
KX0104.005	促
KX0104.006	俄
KX0104.007	𠈴
KX0104.008	𠈵
KX0104.009	俅
KX0104.010	俆
KX0104.011	俇
KX0104.012	㑛
KX0104.013	俈
KX0104.014	俉
KX0104.015	俊
KX0104.016	俋
KX0104.017	𠈶
KX0104.018	俌
KX0104.019	𥙳*
KX0104.020	俍
KX0104.021	俎
KX0104.022	俏
KX0104.023	𠈷
KX0104.024	俐
KX0104.025	俑
KX0104.026	俒
KX0104.027	俓
KX0104.028	俔
KX0105.001	㑜
KX0105.002	𠈸
KX0105.003	𠈹
KX0105.004	𠈺
KX0105.005	俕
KX0105.006	㑝
KX0105.007	㑞
KX0105.008	俖
KX0105.009	俗
KX0105.010	圱*
KX0105.011	𠈻
KX0105.012	俘
KX0105.013	俙
KX0105.014	俚
KX0105.015	俛
KX0105.016	俜
KX0105.017	保
KX0105.018	𤔍*
KX0105.019	𡥀*
KX0105.020	𠊻*
KX0105.021	俞
KX0105.022	㑟
KX0105.023	俟
KX0105.024	俠
KX0105.025	信
KX0106.001	𠈼
KX0106.002	𠈽
KX0106.003	𠈾
KX0106.004	𠈿
KX0106.005	修
KX0106.006	俯
KX0106.007	俰
KX0106.008	俱
KX0106.009	俲
KX0106.010	俳
KX0106.011	俴
KX0106.012	𠉣
KX0106.013	㑣
KX0106.014	俵
KX0106.015	㑤
KX0106.016	㑥
KX0106.017	俶
KX0106.018	俷
KX0106.019	俸
KX0106.020	俹
KX0106.021	俺
KX0106.022	俻
KX0106.023	俼
KX0106.024	俽
KX0106.025	俾
KX0106.026	俿
KX0106.027	倀
KX0107.001	倁
KX0107.002	𠉤
KX0107.003	𠉥
KX0107.004	倂
KX0107.005	倃
KX0107.006	𠉦
KX0107.007	倄
KX0107.008	倅
KX0107.009	倆
KX0107.010	𠉧
KX0107.011	𠉨
KX0107.012	倇
KX0107.013	倈
KX0107.014	倉
KX0107.015	仺*
KX0107.016	倊
KX0107.017	個
KX0107.018	倌
KX0107.019	倍
KX0107.020	俖*
KX0107.021	倎
KX0107.022	倏
KX0107.023	倐
KX0107.024	㑦
KX0107.025	𠉩
KX0107.026	們
KX0107.027	倒
KX0107.028	倓
KX0107.029	倔
KX0107.030	倕
KX0107.031	倖
KX0108.001	倗
KX0108.002	𠉪
KX0108.003	倘
KX0108.004	候
KX0108.005	倚
KX0108.006	倛
KX0108.007	倜
KX0108.008	倝
KX0108.009	倞
KX0108.010	借
KX0108.011	倠
KX0108.012	倡
KX0108.013	倢
KX0108.014	倣
KX0108.015	値
KX0108.016	倥
KX0108.017	倦
KX0108.018	倧
KX0108.019	倨
KX0109.001	倩
KX0109.002	倪
KX0109.003	倫
KX0109.004	倬
KX0109.005	𠉫
KX0109.006	倭
KX0109.007	倮
KX0109.008	倯
KX0109.009	倰
KX0109.010	倱
KX0109.011	倲
KX0109.012	倳
KX0109.013	𠉬
KX0109.014	𠉭
KX0109.015	𠉮
KX0109.016	倴
KX0109.017	倵
KX0109.018	𠊧
KX0109.019	偀
KX0109.020	偁
KX0109.021	偂
KX0109.022	偃
KX0109.023	偄
KX0109.024	偅
KX0110.001	偆
KX0110.002	𠊨
KX0110.003	假
KX0110.004	偈
KX0110.005	偉
KX0110.006	偊
KX0110.007	偋
KX0110.008	偌
KX0110.009	偍
KX0110.010	㑮
KX0110.011	偎
KX0110.012	𠊩
KX0110.013	𠊪
KX0110.014	𠊫
KX0110.015	𠊬
KX0110.016	偏
KX0110.017	𠊭
KX0110.018	偐
KX0110.019	偑
KX0110.020	偒
KX0110.021	偓
KX0110.022	偔
KX0110.023	偕
KX0110.024	偖
KX0110.025	偗
KX0110.026	偘
KX0110.027	𠊮
KX0110.028	偙
KX0110.029	做
KX0110.030	𠊯
KX0110.031	偛
KX0110.032	停
KX0111.001	偝
KX0111.002	𠊰
KX0111.003	偞
KX0111.004	偟
KX0111.005	偠
KX0111.006	偡
KX0111.007	偢
KX0111.008	𠊱
KX0111.009	偣
KX0111.010	偤
KX0111.011	健
KX0111.012	𠊲
KX0111.013	㑯
KX0111.014	𠊳
KX0111.015	偦
KX0111.016	㑰
KX0111.017	偧
KX0111.018	𠊴
KX0111.019	偨
KX0111.020	𠊵
KX0111.021	𠊶
KX0111.022	偩
KX0111.023	偪
KX0111.024	偫
KX0111.025	偬
KX0111.026	偭
KX0111.027	偮
KX0111.028	偯
KX0111.029	偰
KX0111.030	𥝁*
KX0111.031	偱
KX0111.032	偲
KX0111.033	偳
KX0111.034	側
KX0111.035	偵
KX0112.001	偶
KX0112.002	𠊷
KX0112.003	偷
KX0112.004	𠊸
KX0112.005	𠊹
KX0112.006	𠊺
KX0112.007	𠊻
KX0112.008	傀
KX0112.009	傁
KX0112.010	㑳
KX0112.011	傂
KX0112.012	㑴
KX0112.013	傃
KX0112.014	傄
KX0112.015	𠋱
KX0112.016	𠋲
KX0112.017	𠋳
KX0112.018	𠋴
KX0112.019	傅
KX0112.020	傆
KX0112.021	傇
KX0112.022	傈
KX0112.023	傉
KX0112.024	傊
KX0112.025	𠋵
KX0112.026	傋
KX0113.001	傌
KX0113.002	傍
KX0113.003	㑵
KX0113.004	㑶
KX0113.005	傎
KX0113.006	㑷
KX0113.007	傏
KX0113.008	傐
KX0113.009	傑
KX0113.010	𠋶
KX0113.011	𠋷
KX0113.012	𠋸
KX0113.013	傒
KX0113.014	𠋹
KX0113.015	傓
KX0113.016	傔
KX0113.017	傕
KX0113.018	傖
KX0113.019	傗
KX0113.020	傘
KX0113.021	備
KX0113.022	𠈍*
KX0113.023	𠋺
KX0113.024	傚
KX0113.025	傛
KX0113.026	傜
KX0113.027	傝
KX0113.028	傞
KX0113.029	傟
KX0113.030	𠋻
KX0113.031	傠
KX0113.032	𠋼
KX0114.001	𠋽
KX0114.002	𠋾
KX0114.003	𠋿
KX0114.004	𠌀
KX0114.005	𠌁
KX0114.006	傪
KX0114.007	傫
KX0114.008	𠌫
KX0114.009	催
KX0114.010	𠌬
KX0114.011	傭
KX0114.012	傮
KX0114.013	㑻
KX0114.014	𠌭
KX0114.015	傯
KX0114.016	傰
KX0114.017	傱
KX0114.018	𠌮
KX0114.019	傲
KX0114.020	𠌯
KX0114.021	㑼
KX0114.022	𠌰
KX0114.023	傳
KX0114.024	傴
KX0114.025	𠌱
KX0114.026	債
KX0114.027	㑽
KX0114.028	傶
KX0114.029	㑾
KX0114.030	𠌲
KX0114.031	𠌳
KX0114.032	𠌴
KX0115.001	傷
KX0115.002	𠌵
KX0115.003	傸
KX0115.004	傹
KX0115.005	傺
KX0115.006	傻
KX0115.007	傼
KX0115.008	𠌶
KX0115.009	傽
KX0115.010	傾
KX0115.011	傿
KX0115.012	𠌷
KX0115.013	㑿
KX0115.014	僀
KX0115.015	㒀
KX0115.016	僁
KX0115.017	僂
KX0115.018	僃
KX0115.019	僄
KX0115.020	僅
KX0115.021	僆
KX0115.022	㒁
KX0115.023	僇
KX0115.024	僈
KX0115.025	𣍑*
KX0115.026	𠌸
KX0115.027	僉
KX0115.028	𠑲*
KX0115.029	僊
KX0115.030	僋
KX0115.031	𠌹
KX0115.032	𠌺
KX0115.033	𠌻
KX0115.034	僌
KX0115.035	𠌼
KX0116.001	𠌽
KX0116.002	𠌾
KX0116.003	𠌿
KX0116.004	𠍀
KX0116.005	𠍮
KX0116.006	𠍯
KX0116.007	僎
KX0116.008	像
KX0116.009	㒃
KX0116.010	𠍰
KX0116.011	僐
KX0116.012	僑
KX0116.013	僒
KX0116.014	僓
KX0116.015	𠍱
KX0116.016	𠍲
KX0116.017	僔
KX0116.018	僕
KX0116.019	䑑*
KX0116.020	僖
KX0116.021	僗
KX0116.022	僘
KX0116.023	僙
KX0116.024	㒄
KX0116.025	僚
KX0116.026	僛
KX0116.027	僜
KX0116.028	僝
KX0117.001	𠍳
KX0117.002	僞
KX0117.003	僟
KX0117.004	僠
KX0117.005	僡
KX0117.006	㒅
KX0117.007	僢
KX0117.008	僣
KX0117.009	僤
KX0117.010	僥
KX0117.011	㒆
KX0117.012	僦
KX0117.013	㒇
KX0117.014	僧
KX0117.015	㒈
KX0117.016	僨
KX0117.017	𠍴
KX0117.018	𠍵
KX0117.019	僩
KX0117.020	僪
KX0117.021	𠍶
KX0117.022	㒉
KX0117.023	僫
KX0117.024	僬
KX0117.025	㒊
KX0117.026	僭
KX0117.027	𠍷
KX0117.028	㒋
KX0117.029	𠍸
KX0117.030	僮
KX0117.031	僯
KX0118.001	僰
KX0118.002	𠍹
KX0118.003	㒌
KX0118.004	𠍺
KX0118.005	𠍻
KX0118.006	僵
KX0118.007	僶
KX0118.008	僷
KX0118.009	僸
KX0118.010	𠎷
KX0118.011	價
KX0118.012	㒑
KX0118.013	僺
KX0118.014	僻
KX0118.015	𠎸
KX0118.016	僼
KX0118.017	僽
KX0118.018	𠎹	# Unihan は "僾"
KX0118.019	𢙸*
KX0118.020	僿
KX0118.021	儀
KX0118.022	㒒
KX0118.023	㒂
KX0118.024	儁
KX0118.025	儂
KX0118.026	儃
KX0118.027	億
KX0119.001	㒓
KX0119.002	儅
KX0119.003	𠎺
KX0119.004	𠎻
KX0119.005	𠎼
KX0119.006	𠎽
KX0119.007	㒔
KX0119.008	𠎾
KX0119.009	儆
KX0119.010	儇
KX0119.011	儈
KX0119.012	儉
KX0119.013	𠈏*
KX0119.014	㒕
KX0119.015	𠎿
KX0119.016	儊
KX0119.017	𠏀
KX0119.018	儋
KX0119.019	儌
KX0119.020	𠏁
KX0119.021	𠏂
KX0119.022	𠏃
KX0119.023	𠏄
KX0119.024	儐
KX0119.025	㒙
KX0119.026	儑
KX0119.027	𠏨
KX0119.028	𠏩
KX0119.029	𠏪
KX0119.030	儒
KX0119.031	𠏫
KX0119.032	㒚
KX0119.033	儓
KX0119.034	儔
KX0119.035	𠍻*
KX0119.036	㒛
KX0119.037	𠏬
KX0119.038	儕
KX0119.039	𠏭
KX0120.001	儖
KX0120.002	𠏮
KX0120.003	𠏯
KX0120.004	㒜
KX0120.005	儗
KX0120.006	儘
KX0120.007	儙
KX0120.008	儚
KX0120.009	儛
KX0120.010	儜
KX0120.011	𠏰
KX0120.012	償
KX0120.013	儠
KX0120.014	𠐈
KX0120.015	㒝
KX0120.016	儡
KX0120.017	𠐉
KX0120.018	儢
KX0120.019	㒞
KX0120.020	儣
KX0120.021	儤
KX0120.022	儥
KX0120.023	𠐊
KX0120.024	儦
KX0120.025	儧
KX0120.026	儨
KX0120.027	儩
KX0120.028	優
KX0121.001	𠐋
KX0121.002	𠐌
KX0121.003	𠐍
KX0121.004	儫
KX0121.005	𠐎
KX0121.006	𠐏
KX0121.007	㒟
KX0121.008	𠐢
KX0121.009	𠐣
KX0121.010	儭
KX0121.011	儮
KX0121.012	𠐤
KX0121.013	儯
KX0121.014	㒠
KX0121.015	𠐥
KX0121.016	儰
KX0121.017	儱
KX0121.018	𠐦
KX0121.019	𠐧
KX0121.020	儲
KX0121.021	𠐨
KX0121.022	𠐻
KX0121.023	𠐼
KX0121.024	𠐽
KX0121.025	𠐾
KX0121.026	儳
KX0121.027	儴
KX0121.028	𠐿
KX0121.029	儵
KX0121.030	𠑍
KX0121.031	㒤
KX0121.032	儶
KX0121.033	㒥
KX0121.034	㒦
KX0121.035	𠑎
KX0121.036	儷
KX0121.037	㒧
KX0121.038	儸
KX0121.039	𠑗
KX0121.040	儹
KX0121.041	𠑘
KX0121.042	儺
KX0122.001	𠑙
KX0122.002	𠑚
KX0122.003	𠑛
KX0122.004	儻
KX0122.005	儼
KX0122.006	𡅝*
KX0122.007	𠑪
KX0122.008	儽
KX0122.009	𠑫
KX0122.010	㒩
KX0122.011	儾
KX0122.012	㒪
KX0122.013	𠑲
KX0123.001	儿
KX0123.002	兀
KX0123.003	允
KX0123.004	㽙*
KX0123.005	兂
KX0123.006	元
KX0123.007	𠑶
KX0123.008	𠑷
KX0123.009	兄
KX0123.010	充
KX0124.001	𠘺
KX0124.002	𠑹
KX0124.003	兆
KX0124.004	兇
KX0124.005	先
KX0124.006	光
KX0124.007	炗*
KX0124.008	𤎫*
KX0124.009	𠈑*
KX0124.010	𤉭*
KX0124.011	兊
KX0124.012	𠑺
KX0124.013	𠑻
KX0124.014	㒫
KX0124.015	克
KX0124.016	𠧳*
KX0124.017	𡱀*
KX0124.018	𠅔*
KX0124.019	𠅡*
KX0124.020	𠧻*
KX0124.021	兌
KX0124.022	𠑽
KX0124.023	免
KX0124.024	兎
KX0124.025	𠑾
KX0124.026	𠑿
KX0125.001	兏
KX0125.002	𠒀
KX0125.003	兒
KX0125.004	𠒆*
KX0125.005	兓
KX0125.006	兔
KX0125.007	兕
KX0125.008	𠒅*
KX0125.009	𧰽*
KX0125.010	𠒃
KX0125.011	𠒄
KX0125.012	𠒅
KX0125.013	𠒆
KX0125.014	𠒌
KX0125.015	兗
KX0125.016	𠒍
KX0125.017	兘
KX0125.018	党
KX0125.019	㒭
KX0125.020	兜
KX0125.021	兟
KX0125.022	兢
KX0125.023	𠓆*
KX0125.024	𠒧
KX0125.025	𠒨
KX0125.026	𠒰
KX0125.027	𠒱
KX0125.028	𠒸
KX0125.029	𠓆
KX0125.030	兤
KX0125.031	𠓗
KX0125.032	入
KX0125.033	𠓛
KX0125.034	兦
KX0125.035	內
KX0126.001	𠓜
KX0126.002	𠓝
KX0126.003	㒰
KX0126.004	𠓟
KX0126.005	全
KX0126.006	𠓴*
KX0126.007	𠓠
KX0126.008	㒲
KX0126.009	𠓡
KX0126.010	㒳
KX0126.011	𠓤
KX0126.012	㒴
KX0126.013	兩
KX0126.014	㒳*
KX0126.015	兪
KX0126.016	𠓪
KX0126.017	𠓫
KX0126.018	𠓭
KX0126.019	𠓮
KX0126.020	𠓱
KX0126.021	𠓴
KX0126.022	𠓵
KX0126.023	𠓶
KX0126.024	𠓸
